total,species_a,species_b,n,m,potential_energy,potential_energy_per_atom,formation_energy_per_atom,strain_tension_per_a_atom,strain_compression_per_b_atom,interface_energy
19,Si,Ge,6,13,-776.8019538181991,-5.1105391698565725,0.002741130441575996,0.01764071730027202,0.013762618519703115,-1.861414929341663
19,Si,Ge,7,12,-783.3814986054342,-5.153825648719962,0.002670094730604352,0.01764071730027236,0.013762618519703432,-1.9032371476541812
19,Si,Ge,8,11,-789.9486077438388,-5.197030314104203,0.002680872498780667,0.017640717300271724,0.013762618519703163,-1.9326237171361527
19,Si,Ge,9,10,-796.4973439642719,-5.240114105028105,0.0028125247272963875,0.01764071730027202,0.013762618519704261,-1.9436373686465913
19,Si,Ge,10,9,-803.0340146163092,-5.28311851721256,0.0030235556952579587,0.01764071730027226,0.013762618519704025,-1.9425854517612606
19,Si,Ge,11,8,-809.5549702034116,-5.326019540811918,0.003337975248317243,0.01764071730027245,0.013762618519703729,-1.9258184699410776
19,Si,Ge,12,7,-816.0609860053049,-5.3688222763506905,0.0037506828619622993,0.01764071730027202,0.013762618519703349,-1.8941117029118004
19,Si,Ge,13,6,-822.5551018979003,-5.411546723012502,0.004241679352568035,0.017640717300272748,0.013762618519703432,-1.850505026584301
19,Si,Ge,14,5,-829.0363743245339,-5.454186673187723,0.004817172329764892,0.01764071730027033,0.013762618519704261,-1.7940548842948374
19,Si,Ge,15,4,-835.5028445263581,-5.496729240304988,0.0054900483649173056,0.01764071730026823,0.01376261851970284,-1.722802517195987
19,Si,Ge,16,3,-841.96065319899,-5.539214823677566,0.0062199081447559664,0.01764071730026817,0.013762618519703432,-1.6428886209050688
19,Si,Ge,17,2,-848.4106693720794,-5.581649140605785,0.007001034368953671,0.01764071730026561,0.01376261851970284,-1.5551822250711211
19,Si,Ge,18,1,-854.8479252490039,-5.623999508217131,0.007866109910025431,0.017640717300264126,0.01376261851970284,-1.4547155330724308
20,Si,Ge,1,19,-782.4863333150136,-4.8905395832188345,0.004502729159606389,0.017640717300271724,0.013762618519703401,-1.5126070878606015
20,Si,Ge,2,18,-789.1301040025777,-4.932063150016111,0.004033833357127747,0.017640717300272613,0.013762618519704025,-1.6186552065015576
20,Si,Ge,3,17,-795.7747662701953,-4.973592289188721,0.003559365179313545,0.017640717300273206,0.013762618519703885,-1.7255949051960897
20,Si,Ge,4,16,-802.387961696395,-5.014924760602469,0.003281564760361988,0.017640717300271724,0.01376261851970284,-1.801067762472485
20,Si,Ge,5,15,-808.997549394329,-5.056234683714556,0.003026312643071094,0.017640717300272966,0.013762618519702603,-1.8729328914832877
20,Si,Ge,6,14,-815.5947029278401,-5.097466893299001,0.0028487740534224315,0.01764071730027202,0.013762618519703349,-1.9323638560712197
20,Si,Ge,7,13,-822.1852855485179,-5.138658034678237,0.002712303668983651,0.01764071730027236,0.013762618519703115,-1.9852239078261391
20,Si,Ge,8,12,-828.7569437006517,-5.1797308981290735,0.0026941112129431843,0.017640717300271724,0.013762618519703432,-2.019159491037385
20,Si,Ge,9,11,-835.3139326767553,-5.22071207922972,0.002767601107092332,0.01764071730027202,0.013762618519703163,-2.038425898218179
20,Si,Ge,10,10,-841.8568798591954,-5.261605499119971,0.0029288522116384997,0.01764071730027226,0.013762618519704261,-2.043650511735791
20,Si,Ge,11,9,-848.3876658691947,-5.302422911682467,0.003166110643939035,0.01764071730027245,0.013762618519704025,-2.0367139528125335
20,Si,Ge,12,8,-854.9007491405534,-5.343129682128459,0.0035140111927432828,0.01764071730027202,0.013762618519703729,-2.0120746552486253
20,Si,Ge,13,7,-861.3955981440763,-5.383722488400477,0.003975875915521598,0.017640717300272748,0.013762618519703349,-1.969201089848866
